Image, Manual label, Manual area, OrganoID label, OrganoID area
Lung1.png, 17, 14703.544800, 21, 11353.717600
Lung1.png, 18, 7248.806400, 20, 6136.773600
Lung1.png, 21, 2018.133600, 5, 1963.218400
Lung1.png, 23, 2828.132800, 9, 2896.776800
Lung2.png, 1, 14641.765200, 2, 12218.632000
Lung2.png, 2, 11470.412400, 4, 11250.751600
Lung2.png, 3, 12321.598000, 6, 6054.400800
Lung2.png, 4, 26812.346400, 5, 24787.348400
Lung2.png, 5, 13907.274400, 8, 12259.818400
Lung2.png, 6, 7008.552400, 9, 7516.518000
Lung2.png, 7, 18492.693600, 10, 12101.937200
Lung2.png, 8, 9026.686000, 12, 9713.126000
Lung2.png, 9, 7434.145200, 13, 7502.789200
Lung2.png, 10, 48792.155200, 14, 42778.940800
Lung2.png, 11, 4015.674000, 15, 4063.724800
Lung2.png, 12, 12712.868800, 16, 12479.479200
Lung2.png, 13, 5608.214800, 17, 5512.113200
Lung2.png, 14, 26675.058400, 18, 22920.231600
Lung2.png, 15, 10619.226800, 20, 8827.618400
Lung2.png, 16, 5889.655200, 21, 3411.606800
Lung2.png, 17, 5752.367200, 22, 8086.263200
Lung2.png, 18, 4606.012400, 23, 5024.740800
Lung2.png, 19, 3995.080800, 24, 3981.352000
Lung2.png, 20, 4475.588800, 25, 3596.945600
Lung2.png, 21, 12060.750800, 26, 11278.209200
Lung2.png, 22, 31432.087600, 27, 28590.226000
Lung2.png, 23, 6795.756000, 28, 7221.348800
Lung2.png, 24, 13310.071600, 29, 10076.939200
Lung2.png, 25, 12500.072400, 30, 11525.327600
Lung2.png, 26, 30574.037600, 31, 28974.632400
Lung2.png, 27, 16488.288800, 32, 16392.187200
Lung2.png, 28, 4125.504400, 33, 3885.250400
Lung2.png, 29, 9143.380800, 34, 8656.008400
Lung2.png, 30, 16913.881600, 35, 18643.710400
Lung2.png, 31, 15829.306400, 36, 14511.341600
Lung2.png, 32, 6445.671600, 37, 6033.807600
Lung2.png, 33, 4166.690800, 38, 4365.758400
Lung2.png, 34, 18787.862800, 39, 16467.695600
Lung2.png, 35, 4647.198800, 40, 5608.214800
Lung2.png, 36, 22618.198000, 41, 21121.758800
Lung2.png, 37, 6212.282000, 42, 5518.977600
Lung2.png, 38, 23510.570000, 43, 18870.235600
Lung2.png, 39, 20050.912400, 44, 11271.344800
Lung2.png, 40, 6960.501600, 45, 6967.366000
Lung2.png, 41, 6500.586800, 47, 6232.875200
Lung2.png, 42, 11305.666800, 49, 10626.091200
Lung2.png, 43, 26578.956800, 50, 23249.722800
Lung2.png, 44, 18204.388800, 51, 10447.616800
Lung2.png, 45, 6816.349200, 52, 6246.604000
Lung2.png, 46, 8086.263200, 53, 8731.516800
Lung2.png, 53, 1427.795200, 1, 1654.320400
Lung2.png, 55, 2725.166800, 11, 2862.454800
Lung3.png, 1, 3480.250800, 1, 3802.877600
Lung3.png, 2, 14827.104000, 3, 13509.139200
Lung3.png, 3, 17854.304400, 4, 17428.711600
Lung3.png, 4, 8779.567600, 5, 8051.941200
Lung3.png, 5, 11024.226400, 6, 10687.870800
Lung3.png, 6, 14380.918000, 7, 13598.376400
Lung3.png, 7, 23249.722800, 8, 21952.351200
Lung3.png, 8, 6644.739200, 9, 6109.316000
Lung3.png, 9, 13694.478000, 10, 13715.071200
Lung3.png, 10, 15650.832000, 11, 7125.247200
Lung3.png, 11, 9287.533200, 14, 9417.956800
Lung3.png, 12, 40390.129600, 16, 35859.625600
Lung3.png, 13, 22069.046000, 15, 21018.792800
Lung3.png, 14, 31246.748800, 17, 30024.885600
Lung3.png, 15, 9740.583600, 18, 9301.262000
Lung3.png, 16, 9898.464800, 19, 9417.956800
Lung3.png, 17, 5354.232000, 20, 5422.876000
Lung3.png, 18, 15808.713200, 21, 15829.306400
Lung3.png, 19, 5100.249200, 22, 5422.876000
Lung3.png, 20, 11326.260000, 23, 11188.972000
Lung3.png, 21, 20352.946000, 24, 20215.658000
Lung3.png, 22, 6898.722000, 25, 6706.518800
Lung3.png, 23, 7090.925200, 26, 6898.722000
Lung3.png, 24, 7125.247200, 27, 6740.840800
Lung3.png, 25, 5436.604800, 28, 4880.588400
Lung3.png, 26, 6164.231200, 29, 5642.536800
Lung3.png, 27, 4544.232800, 31, 3782.284400
Lung3.png, 28, 6219.146400, 32, 5910.248400
Lung3.png, 29, 28377.429600, 33, 28061.667200
Lung3.png, 30, 10138.718800, 34, 9768.041200
Lung3.png, 31, 16193.119600, 35, 15266.425600
Lung3.png, 32, 8113.720800, 36, 6912.450800
Lung3.png, 33, 12376.513200, 37, 12301.004800
Lung3.png, 34, 9390.499200, 38, 8793.296400
Lung3.png, 35, 5718.045200, 39, 5731.774000
Lung3.png, 36, 6205.417600, 40, 6459.400400
Lung3.png, 37, 6514.315600, 41, 6624.146000
Lung3.png, 38, 7516.518000, 43, 7990.161600
Lung3.png, 39, 3500.844000, 42, 3583.216800
Lung3.png, 40, 3816.606400, 45, 3933.301200
Lung3.png, 44, 2683.980400, 12, 6679.061200
Lung3.png, 45, 2114.235200, 30, 2471.184000
Lung3.png, 46, 1915.167600, 44, 1537.625600
Lung4.png, 1, 6377.027600, 1, 6335.841200
Lung4.png, 2, 19865.573600, 3, 17538.542000
Lung4.png, 3, 2450.590800, 5, 2155.421600
Lung4.png, 4, 6226.010800, 6, 5258.130400
Lung4.png, 5, 9102.194400, 7, 8999.228400
