Filename, Manual count, OrganoID count
ACC1.png, 7, 8
ACC2.png, 12, 11
ACC3.png, 10, 9
ACC4.png, 6, 7
ACC5.png, 18, 14
ACC6.png, 6, 6
C1.png, 11, 11
C2.png, 12, 14
C3.png, 17, 15
C4.png, 6, 9
C5.png, 13, 10
C6.png, 12, 12
Lung1.png, 21, 20
Lung2.png, 61, 54
Lung3.png, 43, 43
Lung4.png, 30, 29
Lung5.png, 28, 27
Lung6.png, 13, 12
PDAC1.png, 32, 33
PDAC2.png, 53, 41
PDAC3.png, 9, 19
PDAC4.png, 21, 23
PDAC5.png, 8, 15
PDAC6.png, 8, 11
PDAC7.png, 17, 20
PDAC8.png, 36, 30
PDAC9.png, 49, 48
PDAC10.png, 44, 37
