Image name, Organoid label, area, perimeter
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_2, 27, 532, 112.26093065034891
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_2, 30, 119, 38.62741699796952
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_2, 31, 242, 59.35533905932738
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_2, 32, 382, 72.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_2, 33, 218, 59.94112549695428
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 1, 2139, 174.50966799187808
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 2, 649, 95.7401153701776
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 3, 1008, 119.39696961966999
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 4, 763, 102.66904755831214
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 5, 2043, 214.20815280171308
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 6, 365, 69.94112549695427
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 7, 785, 103.1543289325507
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 8, 669, 95.25483399593904
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 9, 750, 100.42640687119285
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 10, 310, 62.87005768508881
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 11, 1208, 130.36753236814712
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 15, 279, 60.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 16, 340, 75.59797974644667
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 18, 157, 45.21320343559643
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 19, 172, 48.8700576850888
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 20, 118, 37.55634918610404
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 22, 108, 35.79898987322333
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 24, 149, 44.04163056034261
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 25, 108, 36.97056274847714
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 28, 526, 86.66904755831214
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 29, 149, 45.45584412271571
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 33, 161, 54.941125496954285
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 34, 343, 67.94112549695429
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_3, 35, 298, 66.5269119345812
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 1, 2746, 227.48023074035524
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 2, 1352, 140.46803743153546
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 3, 950, 115.91168824543142
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 4, 773, 103.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 5, 746, 101.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 6, 805, 104.5685424949238
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 7, 638, 93.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 8, 976, 114.5685424949238
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 9, 331, 65.698484809835
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 10, 1173, 125.63961030678928
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_4, 12, 248, 58.87005768508881
